MAZ,TAZ,COUNTY,DISTRICT,SD,TOTHH,TOTPOP,TOTACRE,RESACRE,CIACRE,TOTEMP,AGE0519,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,area_type,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,totint,popden,retempden,access_dist_transit
100628,3272,1,1,1,24,85,2.5665,1.0266,1.5399,213,28,144,50,15,4,0,0,0,0,4,0,0.0,0.0,1,1,174.0,15.6379,1.028,0.333
100629,3272,1,1,1,0,0,2.5071,1.00284,1.50426,44,0,35,9,0,0,0,0,0,0,4,0,0.0,0.0,1,1,195.0,16.8939,1.1444,0.333
100630,3272,1,1,1,15,32,1.8983,0.7593200000000001,1.13898,17,1,0,8,8,1,0,0,0,0,4,0,0.0,0.0,1,1,172.0,14.2446,1.1256,0.333
100631,3272,1,1,1,42,82,12.5355,5.014200000000001,7.5213,16,12,0,8,0,8,0,0,0,0,4,0,0.0,0.0,1,1,195.0,16.2393,1.0699,0.333
100632,3272,1,1,1,89,209,8.1196,3.24784,4.87176,1,34,0,0,0,1,0,0,0,0,4,0,0.0,0.0,1,1,188.0,15.3215,1.1105,0.333
100633,3272,1,1,1,58,150,13.912,5.564800000000001,8.3472,1,34,0,0,0,1,0,0,0,0,4,0,0.0,0.0,1,1,221.0,22.9127,1.0811,0.333
100634,3272,1,1,1,91,211,8.2638,3.30552,4.958279999999999,4,35,0,0,3,1,0,0,0,0,4,0,0.0,0.0,1,1,198.0,22.6958,1.1964,0.333
100635,3272,1,1,1,60,140,4.9833,1.99332,2.98998,1,20,0,0,0,1,0,0,0,0,4,0,0.0,0.0,1,1,194.0,16.0669,1.0749,0.333
100636,3272,1,1,1,60,142,5.039,2.0156,3.0234,4,28,0,0,3,1,0,0,0,0,4,0,0.0,0.0,1,1,208.0,22.6977,1.1242,0.333
100637,3342,1,1,1,73,186,5.0513,2.0205200000000003,3.03078,17,39,2,0,14,1,0,0,0,0,4,0,0.0,0.0,1,1,223.0,32.8311,1.8732,0.333
100638,3342,1,1,1,87,223,5.0652,2.02608,3.03912,31,40,6,0,24,1,0,0,0,0,4,0,0.0,0.0,1,1,221.0,32.2411,1.8492,0.333
