MAZ,TAP,DISTWALK,walk_time
519,1559,0.54155,10.831
519,1562,0.93735,18.747
519,1603,0.4826,9.652000000000001
519,1604,0.23325,4.665
519,1606,0.2327,4.654
519,1607,0.6454500000000001,12.909
519,1608,0.6163000000000001,12.325999999999999
519,1611,0.66765,13.353
519,1612,0.97655,19.531
519,1651,0.60945,12.189
519,1652,0.6442,12.884
519,1653,0.96865,19.373
519,1665,0.7868,15.735999999999999
519,1748,0.9975,19.95
520,1238,0.5151,10.302
520,1333,0.7275499999999999,14.550999999999998
520,1558,0.8557,17.114
520,1559,0.5965499999999999,11.931
520,1603,0.35275,7.055
520,1604,0.1034,2.068
520,1606,0.22625,4.525
520,1607,0.63975,12.795
520,1608,0.6106499999999999,12.213
520,1611,0.66195,13.239
520,1612,0.97085,19.417
520,1651,0.48065,9.613
520,1652,0.63335,12.667
520,1653,0.963,19.26
520,1665,0.65805,13.161
520,1681,0.99475,19.895
520,1748,0.99015,19.803
521,1238,0.73785,14.757
521,1558,0.5617000000000001,11.234000000000002
521,1559,0.30255,6.051
521,1562,0.752,15.04
521,1603,0.59695,11.939
521,1604,0.3476,6.952000000000001
521,1606,0.5291,10.582
521,1607,0.94075,18.815
521,1608,0.9116,18.232
521,1611,0.96295,19.259
521,1651,0.72485,14.497
521,1652,0.93675,18.735
521,1665,0.90225,18.045
522,1238,0.73275,14.655
522,1558,0.5722,11.444
522,1559,0.3128500000000001,6.2570000000000014
522,1562,0.70955,14.190999999999999
522,1603,0.6394,12.788
522,1604,0.3901,7.8020000000000005
522,1606,0.524,10.48
522,1607,0.93565,18.713
522,1608,0.9065,18.13
522,1611,0.95785,19.157
522,1651,0.7672999999999999,15.345999999999998
522,1652,0.93165,18.633
522,1665,0.9447,18.894000000000002
523,1238,0.53025,10.605
523,1333,0.8147500000000001,16.295
523,1558,0.7626999999999999,15.254000000000001
523,1559,0.5035499999999999,10.071
523,1562,0.9109,18.218
523,1603,0.4463,8.926
523,1604,0.1968,3.9360000000000004
523,1606,0.31965,6.393
523,1607,0.73315,14.663
523,1608,0.7040000000000001,14.08
523,1611,0.75535,15.107000000000001
523,1651,0.5740000000000001,11.48
523,1652,0.7273,14.546
523,1665,0.7514000000000001,15.027999999999999
524,1238,0.7485499999999999,14.970999999999998
524,1558,0.55935,11.187000000000001
524,1559,0.57255,11.450999999999999
524,1603,0.22795,4.559
